interval_loinc_code,UCUM_unit,low_reportable_limit,high_reportable_limit
2756-5,,0.0001,17
2774-8,mg/dL,0.0001,57
2777-1,mg/dL,0.0001,57
2823-3,meq/L,0.0001,34
2828-2,meq/L,0.0001,221
2842-3,ng/mL,0.0001,17970
28539-5,pg,0.0001,129
28540-3,g/dL,0.0001,124
2857-1,ng/mL,0,18487
2862-1,g/dL,0.0001,14
2880-3,mg/dL,0.0001,16650
2885-2,g/dL,0.0001,28
2888-6,mg/dL,0,18315
2890-2,{ratio},0,533
29247-4,ng/mL,0,59
2947-0,meq/L,10,373
2951-2,meq/L,10,373
2955-3,meq/L,0.0001,879
2965-2,,0.0001,2
2966-0,,0.0001,2
2986-8,ng/dL,0.0001,2768
2993-4,ng/dL,0.0001,2768
30003-8,mg/dL,0,3951
30004-6,mg/dL,0,1739
30089-7,/[HPF],0,369
3015-5,u[IU]/mL,0.0001,613
3016-3,u[IU]/mL,0.0001,613
30239-8,[IU]/L,0.0001,63909
3024-7,ng/dL,0.0001,12
3025-4,ug/dL,0.0001,74
3026-2,ug/dL,0.0001,74
30313-1,g/dL,0.0001,37
3034-6,mg/dL,0.0001,901
30341-2,mm/h,0,225
30350-3,g/dL,0.0001,37
30351-1,g/dL,0.0001,37
30352-9,g/dL,0.0001,37
30364-4,10*3/uL,0,917
30384-2,fL,0.0001,260
30385-9,%,0.0001,73
30393-3,%,0,1562
30394-1,/uL,0,359550
3040-3,[IU]/L,0.0001,56700
30428-7,fL,0.0001,234
3043-7,mg/dL,0.0001,18744
3049-4,mg/dL,0.0001,18744
30522-7,mg/L,0.0001,912
3053-6,ng/dL,0.0001,962
3084-1,mg/dL,0.0001,42
30902-1,mg/dL,10,2703
3094-0,mg/dL,0.0001,458
3095-7,mg/dL,0,3446
31017-7,[arb'U],0,180
32016-8,mg/dL,0.0001,5265
3255-7,mg/dL,10,2703
32693-4,mmol/L,0.0001,78
32717-1,meq/L,10,373
32721-3,ng/mL,0,74
33022-5,mm[Hg],0.0001,369
33223-9,/[LPF],0,3191
33342-7,/[HPF],0,915
33437-5,mm[Hg],0.0001,1371
33762-6,pg/mL,0.0001,193499
33944-0,mg/L,0.0001,35731
34581-9,mmol/L,0.0001,7
34728-6,meq/L,0.0001,171
3520-4,ng/mL,0,2649
3521-2,ng/mL,0,2649
35632-9,ug/mL,0,141
35663-4,mg/dL,0,18315
35674-1,mg/dL,0,1739
35676-6,meq/L,0.0001,466
35677-4,meq/L,0.0001,221
35678-2,meq/L,0.0001,879
35741-8,ng/mL,0,18487
36916-5,mg/L,0.0001,388200
38483-4,mg/dL,0.0001,120
3968-5,ug/mL,0,141
39791-9,meq/L,10,373
39792-7,meq/L,10,373
40665-2,%,0,58
40665-2,10*6/uL,0,2
4086-5,ug/mL,0,1778
41644-6,mmol/L,0.0001,7
41645-3,mmol/L,0.0001,7
41646-1,mmol/L,0.0001,7
41647-9,meq/L,0.0001,171
41649-5,meq/L,10,222
41650-3,meq/L,10,222
41651-1,mg/dL,0.0001,5265
41652-9,mg/dL,0.0001,5265
41653-7,mg/dL,0.0001,5265
41657-8,meq/L,10,373
42243-6,g/dL,0.0001,37
42638-7,s,1,231
42719-5,mg/dL,0,131
42758-3,%,0,58
